# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1726536242
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-29.7581,0.997918,0.576965,2,3,0,30.0924,0.160045
-29.8163,0.988289,0.98887,1,1,0,29.9051,0.172477
-30.1032,0.852506,1.63921,1,1,0,30.4389,0.226177
-29.3433,1,1.90223,1,1,0,29.5406,-0.169772
-29.3551,0.975198,3.20748,1,1,0,29.596,-0.175393
-29.3551,1.3856e-82,5.03945,1,1,0,29.717,-0.175393
-29.3445,1,0.679504,1,1,0,29.3604,-0.170376
-29.5219,0.742898,1.14101,2,3,0,31.2227,0.100418
-29.8663,0.836619,1.00643,1,3,0,31.0393,-0.318106
-30.6502,0.816009,1.1195,1,1,0,30.697,-0.443278
-29.7804,1,1.18234,1,1,0,30.4464,-0.300315
-29.3566,1,1.94827,1,1,0,29.4493,0.0406561
-29.3566,0.0169855,3.18803,1,1,0,29.3698,0.0406561
-29.8717,0.953879,0.494907,1,3,0,30.5541,0.183749
-29.3694,0.979826,0.727688,3,7,0,30.4391,-0.181851
-29.3694,2.32568e-84,9.05182,1,2,1,30.22,-0.181851
-29.3694,0,21.1366,0,1,1,30.1331,-0.181851
-29.5827,0.839766,2.08405,1,1,0,29.5827,0.117599
-29.3734,1,1.41624,2,3,0,29.5661,-0.183606
-29.2498,1,1.85738,1,1,0,29.3106,-0.100457
-29.2498,0.0275595,2.84739,1,1,0,29.7503,-0.100457
-29.3121,0.999219,0.243648,2,7,0,29.3484,-0.153159
-29.2652,0.976274,0.410621,2,7,0,30.6631,-0.0166232
-29.2446,0.999976,0.678279,2,5,0,29.2648,-0.0912768
-30.0763,0.810314,1.24563,1,3,0,30.1559,-0.35699
-29.7921,1,1.27929,2,3,0,30.1139,-0.302824
-29.7921,0.00847955,2.41785,1,1,0,30.1835,-0.302824
-29.427,0.997537,0.202127,2,7,0,30.3755,-0.20478
-32.857,0.898555,0.385758,3,11,0,35.6328,-0.669062
